instance,pricing,customers,facilities,status,iterations,pricing_calls,columns,reached_optimality,total_seconds,master_seconds,pricing_seconds,root_lp_objective,integer_objective,open_facilities
lrsp_n005_f02_easy_s1,dp,5,2,lp_optimal,5,10,99,1,0.020100,0.002400,0.015700,815.383240,815.383240,1
lrsp_n005_f02_easy_s1,ip,5,2,lp_optimal,5,10,99,1,0.203700,0.002400,0.199400,815.383240,815.383240,1
lrsp_n005_f02_easy_s2,dp,5,2,lp_optimal,5,10,87,1,0.019900,0.002500,0.015500,764.901398,764.901398,1
lrsp_n005_f02_easy_s2,ip,5,2,lp_optimal,5,10,87,1,0.019700,0.002600,0.015300,764.901398,764.901398,1
lrsp_n005_f02_easy_s3,dp,5,2,lp_optimal,5,10,69,1,0.018400,0.002400,0.014200,555.020443,555.020443,1
lrsp_n005_f02_easy_s3,ip,5,2,lp_optimal,5,10,69,1,0.018700,0.002400,0.014600,555.020443,555.020443,1
lrsp_n005_f02_moderate_s1,dp,5,2,lp_optimal,4,8,69,1,0.015100,0.002600,0.008400,939.838047,962.552073,1
lrsp_n005_f02_moderate_s1,ip,5,2,lp_optimal,4,8,69,1,0.022800,0.002700,0.016200,939.838047,962.552073,1
lrsp_n005_f02_moderate_s2,dp,5,2,lp_optimal,4,8,73,1,0.014500,0.002400,0.008900,830.561185,839.691269,1
lrsp_n005_f02_moderate_s2,ip,5,2,lp_optimal,4,8,73,1,0.017400,0.002500,0.011500,830.561185,839.691269,1
lrsp_n005_f02_moderate_s3,dp,5,2,lp_optimal,4,8,69,1,0.009800,0.002400,0.005700,601.230483,601.230483,1
lrsp_n005_f02_moderate_s3,ip,5,2,lp_optimal,4,8,69,1,0.012200,0.002500,0.008000,601.230483,601.230483,1
lrsp_n005_f02_tight_s1,dp,5,2,lp_optimal,3,6,48,1,0.005200,0.002200,0.001200,1595.741536,1597.946395,2
lrsp_n005_f02_tight_s1,ip,5,2,lp_optimal,3,6,48,1,0.010800,0.002500,0.006100,1595.741536,1597.946395,2
lrsp_n005_f02_tight_s2,dp,5,2,lp_optimal,4,8,58,1,0.009000,0.002500,0.003800,1362.745437,1383.580972,2
lrsp_n005_f02_tight_s2,ip,5,2,lp_optimal,4,8,58,1,0.018500,0.002600,0.013300,1362.745437,1383.580972,2
lrsp_n005_f02_tight_s3,dp,5,2,lp_optimal,3,6,29,1,0.004400,0.002300,0.000900,888.170092,888.170092,2
lrsp_n005_f02_tight_s3,ip,5,2,lp_optimal,3,6,29,1,0.007600,0.002200,0.004200,888.170092,888.170092,2
lrsp_n008_f02_easy_s1,ip,8,2,lp_optimal,8,16,133,1,0.765300,0.003500,0.756700,903.457946,943.297575,1
lrsp_n008_f02_easy_s2,ip,8,2,lp_optimal,6,12,157,1,0.882600,0.003200,0.873900,754.999626,778.943466,1
lrsp_n008_f02_easy_s3,ip,8,2,lp_optimal,8,16,173,1,0.678100,0.003600,0.670700,807.954734,807.954734,1
lrsp_n008_f02_moderate_s1,ip,8,2,lp_optimal,8,16,146,1,0.109500,0.003300,0.103800,1047.109269,1047.109269,1
lrsp_n008_f02_moderate_s2,ip,8,2,lp_optimal,7,14,145,1,0.220600,0.003700,0.213700,832.041328,832.041328,1
lrsp_n008_f02_moderate_s3,ip,8,2,lp_optimal,6,12,140,1,0.107600,0.003200,0.099200,914.000707,955.703586,1
lrsp_n008_f02_tight_s1,dp,8,2,lp_optimal,6,12,88,1,3.848700,0.002900,3.843400,1649.515591,1650.541539,2
lrsp_n008_f02_tight_s1,ip,8,2,lp_optimal,6,12,88,1,0.019500,0.002700,0.014700,1649.515591,1650.541539,2
lrsp_n008_f02_tight_s2,dp,8,2,lp_optimal,5,10,97,1,10.417800,0.003100,10.412000,1274.684591,1274.684591,2
lrsp_n008_f02_tight_s2,ip,8,2,lp_optimal,5,10,97,1,0.019900,0.002600,0.015200,1274.684591,1274.684591,2
lrsp_n008_f02_tight_s3,dp,8,2,lp_optimal,5,10,76,1,5.120100,0.002700,5.114300,1422.824244,1446.494172,2
lrsp_n008_f02_tight_s3,ip,8,2,lp_optimal,5,10,76,1,0.015400,0.002500,0.010000,1422.824244,1446.494172,2
lrsp_n010_f03_easy_s1,ip,10,3,lp_optimal,11,33,365,1,13.698900,0.005900,13.684700,719.199554,719.199554,1
lrsp_n010_f03_easy_s2,ip,10,3,lp_optimal,12,36,418,1,33.894200,0.008500,33.870700,852.613272,899.512180,1
lrsp_n010_f03_easy_s3,ip,10,3,lp_optimal,10,30,302,1,9.816400,0.005200,9.804600,815.121385,815.121385,1
lrsp_n010_f03_moderate_s1,ip,10,3,lp_optimal,8,24,254,1,0.649000,0.003800,0.640200,1140.010978,1149.825276,2
lrsp_n010_f03_moderate_s2,ip,10,3,lp_optimal,8,24,289,1,3.328500,0.005600,3.278800,1397.602617,1442.861816,2
lrsp_n010_f03_moderate_s3,ip,10,3,lp_optimal,7,21,215,1,0.515000,0.003600,0.502200,1285.330603,1322.917485,2
lrsp_n010_f03_tight_s1,ip,10,3,lp_optimal,6,18,148,1,0.050500,0.002800,0.041800,1647.759741,1670.267056,3
lrsp_n010_f03_tight_s2,ip,10,3,lp_optimal,8,24,221,1,0.150100,0.003600,0.141900,1971.433985,1973.666963,3
lrsp_n010_f03_tight_s3,ip,10,3,lp_optimal,5,15,151,1,0.032700,0.002700,0.026800,1801.205049,1804.882336,3
