instance,n,f,regime,seed,bv_factor,bf_factor,gt_factor,total_demand,mean_demand,max_demand,std_demand,vehicle_capacity,vehicle_time_limit,vehicle_fixed_cost,mean_cust_nearest_fac_dist,max_cust_nearest_fac_dist,mean_cust_cust_dist,demand_to_capacity_ratio,max_singleton_round_trip,avg_singleton_round_trip,gt_slack,bv_slack,dp_completed,dp_total_seconds,dp_master_seconds,dp_pricing_seconds,dp_iterations,dp_pricing_calls,dp_total_columns,dp_phase1_route_columns,dp_phase2_pairing_columns,dp_max_routes_per_column,dp_avg_pool_per_call,dp_root_lp,dp_integer,ip_completed,ip_total_seconds,ip_master_seconds,ip_pricing_seconds,ip_iterations,ip_pricing_calls,ip_total_columns,ip_phase1_route_columns,ip_phase2_pairing_columns,ip_max_routes_per_column,ip_avg_pool_per_call,ip_root_lp,ip_integer,winner,dp_useful,ip_useful,speedup_ip_over_dp,log_speedup,avg_pool_per_call
lrsp_n005_f02_easy_s1,5,2,easy,1,4.0,3.0,4.0,110.0,22.0,30.0,9.757048734120374,120.0,571.977777831438,53.263033,53.26303298972083,71.49722222892974,43.37091211839273,0.3333333333333333,142.9944444578595,106.52606597944165,4.0,4.0,1,0.038000,0.005900,0.022000,5,10,99,89,0,1,9.9000,815.383240,815.383240,1,0.051700,0.003500,0.045300,5,10,99,89,0,1,9.9000,815.383240,815.383240,dp,1,0,0.735010,-0.1337,9.9000
lrsp_n005_f02_easy_s2,5,2,easy,2,4.0,3.0,4.0,54.0,10.8,18.0,4.664761515876241,72.0,562.8443505413995,46.866404,46.86640395521995,70.35554381767494,62.89314755439856,0.3333333333333333,140.71108763534988,93.7328079104399,4.0,4.0,1,0.026600,0.002500,0.015900,5,10,87,77,0,1,8.7000,764.901398,764.901398,1,0.024800,0.006900,0.016000,5,10,87,77,0,1,8.7000,764.901398,764.901398,ip,0,1,1.072581,0.0304,8.7000
lrsp_n005_f02_easy_s3,5,2,easy,3,4.0,3.0,4.0,106.0,21.2,27.0,3.655133376499413,108.0,517.7852745703859,27.650176,27.65017643795992,64.72315932129824,60.14073235790672,0.3333333333333333,129.44631864259648,55.30035287591984,4.0,4.0,1,0.019300,0.002200,0.015400,5,10,69,59,0,1,6.9000,555.020443,555.020443,1,0.022100,0.002300,0.018000,5,10,69,59,0,1,6.9000,555.020443,555.020443,dp,1,0,0.873303,-0.0588,6.9000
lrsp_n005_f02_moderate_s1,5,2,moderate,1,2.5,2.0,2.5,110.0,22.0,30.0,9.757048734120374,75.0,357.4861111446487,53.263033,53.26303298972083,71.49722222892974,43.37091211839273,0.5,142.9944444578595,106.52606597944165,2.5,2.5,1,0.016600,0.002100,0.006300,4,8,69,57,2,2,8.6250,939.838047,962.552073,1,0.020900,0.003200,0.014200,4,8,69,57,2,2,8.6250,939.838047,962.552073,dp,1,0,0.794258,-0.1000,8.6250
lrsp_n005_f02_moderate_s2,5,2,moderate,2,2.5,2.0,2.5,54.0,10.8,18.0,4.664761515876241,45.0,351.77771908837474,46.866404,46.86640395521995,70.35554381767494,62.89314755439856,0.5,140.71108763534988,93.7328079104399,2.5,2.5,1,0.015000,0.002100,0.009000,4,8,73,61,2,2,9.1250,830.561185,839.691269,1,0.018600,0.003600,0.011800,4,8,73,61,2,2,9.1250,830.561185,839.691269,dp,1,0,0.806452,-0.0934,9.1250
lrsp_n005_f02_moderate_s3,5,2,moderate,3,2.5,2.0,2.5,106.0,21.2,27.0,3.655133376499413,67.5,323.6157966064912,27.650176,27.65017643795992,64.72315932129824,60.14073235790672,0.5,129.44631864259648,55.30035287591984,2.5,2.5,1,0.010100,0.002200,0.006300,4,8,69,57,2,2,8.6250,601.230483,601.230483,1,0.012000,0.002400,0.007900,4,8,69,57,2,2,8.6250,601.230483,601.230483,dp,1,0,0.841667,-0.0749,8.6250
lrsp_n005_f02_tight_s1,5,2,tight,1,1.7,1.4,1.7,110.0,22.0,30.0,9.757048734120374,51.0,243.09055557836112,53.263033,53.26303298972083,71.49722222892974,43.37091211839273,0.7142857142857143,142.9944444578595,106.52606597944165,1.7,1.7,1,0.005700,0.001900,0.001200,3,6,48,38,0,1,8.0000,1595.741536,1597.946395,1,0.008000,0.002000,0.004500,3,6,48,38,0,1,8.0000,1595.741536,1597.946395,dp,1,0,0.712500,-0.1472,8.0000
lrsp_n005_f02_tight_s2,5,2,tight,2,1.7,1.4,1.7,54.0,10.8,18.0,4.664761515876241,30.599999999999998,239.20884898009479,46.866404,46.86640395521995,70.35554381767494,62.89314755439856,0.7105263157894737,140.71108763534988,93.7328079104399,1.7,1.7,1,0.009200,0.002100,0.004000,4,8,58,48,0,1,7.2500,1362.745437,1383.580972,1,0.019300,0.002200,0.014500,4,8,58,48,0,1,7.2500,1362.745437,1383.580972,dp,1,0,0.476684,-0.3218,7.2500
lrsp_n005_f02_tight_s3,5,2,tight,3,1.7,1.4,1.7,106.0,21.2,27.0,3.655133376499413,45.9,220.058741692414,27.650176,27.65017643795992,64.72315932129824,60.14073235790672,0.7162162162162162,129.44631864259648,55.30035287591984,1.7,1.7,1,0.004200,0.002000,0.001000,3,6,29,19,0,1,4.8333,888.170092,888.170092,1,0.008400,0.002000,0.004700,3,6,29,19,0,1,4.8333,888.170092,888.170092,dp,1,0,0.500000,-0.3010,4.8333
lrsp_n006_f02_easy_s1,6,2,easy,1,4.0,3.0,4.0,140.0,23.333333333333332,30.0,9.392668535736913,120.0,674.2855389122905,39.8473,39.84730040668827,84.28569236403631,48.984744712052056,0.3333333333333333,168.57138472807262,79.69460081337654,4.0,4.0,1,0.389100,0.002700,0.383800,6,12,100,86,2,2,8.3333,720.857751,740.257882,1,0.055200,0.002600,0.050100,6,12,100,86,2,2,8.3333,720.857751,740.257882,ip,0,1,7.048913,0.8481,8.3333
lrsp_n006_f02_easy_s2,6,2,easy,2,4.0,3.0,4.0,75.0,12.5,21.0,5.7081812631812365,84.0,323.98530451291384,29.964818,29.964818293847742,40.49816306411423,59.079082708695815,0.33482142857142855,80.99632612822846,59.929636587695484,4.0,4.0,1,0.189200,0.002800,0.183800,6,12,121,109,0,1,10.0833,583.217786,583.217786,1,0.045100,0.002900,0.039500,6,12,121,109,0,1,10.0833,583.217786,583.217786,ip,0,1,4.195122,0.6227,10.0833
lrsp_n006_f02_easy_s3,6,2,easy,3,4.0,3.0,4.0,118.0,19.666666666666668,27.0,4.784233364802441,108.0,687.9775756652141,42.265434,42.26543432387131,85.99719695815176,57.63355308651878,0.3333333333333333,171.99439391630352,84.53086864774262,4.0,4.0,1,0.436000,0.002800,0.428800,6,12,123,109,2,2,10.2500,756.546655,780.489880,1,0.071400,0.004600,0.062400,6,12,123,109,2,2,10.2500,756.546655,780.489880,ip,0,1,6.106443,0.7858,10.2500
lrsp_n006_f02_moderate_s1,6,2,moderate,1,2.5,2.0,2.5,140.0,23.333333333333332,30.0,9.392668535736913,75.0,421.42846182018155,39.8473,39.84730040668827,84.28569236403631,48.984744712052056,0.5,168.57138472807262,79.69460081337654,2.5,2.5,1,0.101700,0.002500,0.096400,4,8,66,53,1,2,8.2500,816.655053,816.655053,1,0.017300,0.002300,0.013100,4,8,66,53,1,2,8.2500,816.655053,816.655053,ip,0,1,5.878613,0.7693,8.2500
lrsp_n006_f02_moderate_s2,6,2,moderate,2,2.5,2.0,2.5,75.0,12.5,21.0,5.7081812631812365,52.5,202.49081532057116,29.964818,29.964818293847742,40.49816306411423,59.079082708695815,0.5,80.99632612822846,59.929636587695484,2.5,2.5,1,0.049400,0.003500,0.044000,4,8,80,68,0,1,10.0000,645.732244,645.732244,1,0.014700,0.002500,0.010400,4,8,80,68,0,1,10.0000,645.732244,645.732244,ip,0,1,3.360544,0.5264,10.0000
lrsp_n006_f02_moderate_s3,6,2,moderate,3,2.5,2.0,2.5,118.0,19.666666666666668,27.0,4.784233364802441,67.5,429.98598479075883,42.265434,42.26543432387131,85.99719695815176,57.63355308651878,0.5,171.99439391630352,84.53086864774262,2.5,2.5,1,0.188900,0.002800,0.183600,5,10,96,82,2,2,9.6000,814.288517,814.288517,1,0.039300,0.002900,0.031700,5,10,96,82,2,2,9.6000,814.288517,814.288517,ip,0,1,4.806616,0.6818,9.6000
lrsp_n006_f02_tight_s1,6,2,tight,1,1.7,1.4,1.7,140.0,23.333333333333332,30.0,9.392668535736913,51.0,286.57135403772344,39.8473,39.84730040668827,84.28569236403631,48.984744712052056,0.7142857142857143,168.57138472807262,79.69460081337654,1.7,1.7,1,0.011500,0.002300,0.007400,3,6,47,35,0,1,7.8333,1301.041192,1328.409345,1,0.008800,0.002100,0.005200,3,6,47,35,0,1,7.8333,1301.041192,1328.409345,ip,0,1,1.306818,0.1162,7.8333
lrsp_n006_f02_tight_s2,6,2,tight,2,1.7,1.4,1.7,75.0,12.5,21.0,5.7081812631812365,35.699999999999996,137.69375441798837,29.964818,29.964818293847742,40.49816306411423,59.079082708695815,0.7211538461538461,80.99632612822846,59.929636587695484,1.7,1.6999999999999997,1,0.006300,0.004500,0.000200,2,4,28,19,0,1,7.0000,932.578555,961.045475,1,0.006400,0.004800,0.000200,2,4,28,19,0,1,7.0000,932.578555,961.045475,dp,1,0,0.984375,-0.0068,7.0000
