instance,customer_count,facility_count,seed,facility_id,phase1_route_count,phase1_time_s,phase2_dp_time_s,phase2_ip_time_s,phase2_dp_objective,phase2_ip_objective
synth_n4_f2_s1000,4,2,1000,5,10,0.0014,0.0029,0.0603,275.5991975022008,275.5991975022008
synth_n4_f2_s1000,4,2,1000,6,10,0.0014,0.0030,0.0591,275.5991975022008,275.5991975022008
synth_n4_f2_s1001,4,2,1001,5,10,0.0014,0.0028,0.0590,275.5991975022008,275.5991975022008
synth_n4_f2_s1001,4,2,1001,6,10,0.0014,0.0032,0.0582,275.5991975022008,275.5991975022008
synth_n5_f2_s1000,5,2,1000,6,15,0.0038,0.0160,0.0612,327.17261183599084,327.17261183599084
synth_n5_f2_s1000,5,2,1000,7,16,0.0036,0.0177,0.0628,329.6401373176262,329.6401373176262
synth_n5_f2_s1001,5,2,1001,6,15,0.0036,0.0164,0.0660,327.17261183599084,327.17261183599084
synth_n5_f2_s1001,5,2,1001,7,16,0.0036,0.0180,0.0642,329.6401373176262,329.6401373176262
synth_n6_f2_s1000,6,2,1000,7,22,0.0083,0.1543,0.0582,363.7625394083966,363.7625394083966
synth_n6_f2_s1000,6,2,1000,8,23,0.0083,0.1777,0.0588,363.76253940839655,363.7625394083966
synth_n6_f2_s1001,6,2,1001,7,22,0.0078,0.1542,0.0588,363.7625394083966,363.7625394083966
synth_n6_f2_s1001,6,2,1001,8,23,0.0082,0.1764,0.0592,363.76253940839655,363.7625394083966
synth_n7_f2_s1000,7,2,1000,8,31,0.0161,2.0980,0.0646,418.5239243997443,418.5239243997443
synth_n7_f2_s1000,7,2,1000,9,32,0.0168,2.4216,0.0646,419.8175670480464,419.8175670480464
synth_n7_f2_s1001,7,2,1001,8,31,0.0165,2.0938,0.0645,418.5239243997443,418.5239243997443
synth_n7_f2_s1001,7,2,1001,9,32,0.0171,2.3509,0.0671,419.8175670480464,419.8175670480464
synth_n8_f2_s1000,8,2,1000,9,40,0.0303,32.1496,0.0630,447.4784179920266,447.4784179920266
synth_n8_f2_s1000,8,2,1000,10,37,0.0301,20.8366,0.0620,447.4784179920266,447.4784179920266
synth_n8_f2_s1001,8,2,1001,9,40,0.0298,36.5760,0.0620,447.4784179920266,447.4784179920266
synth_n8_f2_s1001,8,2,1001,10,37,0.0300,20.6505,0.0611,447.4784179920266,447.4784179920266
