method,instance,n_customers,n_facilities,n_periods,total_time,pricing_time,master_time,iterations,columns_generated,objective,status,notes,regime,seed,root_lp_objective,phase2_pairing_columns
dp,lrsp_n005_f02_easy_s1,5,2,,0.036400,0.028700,0.003900,5,99,815.383240,lp_optimal,reached_optimality=1,easy,1,815.383240,0
ip,lrsp_n005_f02_easy_s1,5,2,,0.049800,0.042200,0.004000,5,99,815.383240,lp_optimal,reached_optimality=1,easy,1,815.383240,0
dp,lrsp_n005_f02_easy_s2,5,2,,0.035600,0.028000,0.004200,5,87,764.901398,lp_optimal,reached_optimality=1,easy,2,764.901398,0
ip,lrsp_n005_f02_easy_s2,5,2,,0.035500,0.027800,0.004500,5,87,764.901398,lp_optimal,reached_optimality=1,easy,2,764.901398,0
dp,lrsp_n005_f02_easy_s3,5,2,,0.035700,0.028800,0.004100,5,69,555.020443,lp_optimal,reached_optimality=1,easy,3,555.020443,0
ip,lrsp_n005_f02_easy_s3,5,2,,0.031800,0.025300,0.003700,5,69,555.020443,lp_optimal,reached_optimality=1,easy,3,555.020443,0
dp,lrsp_n005_f02_moderate_s1,5,2,,0.020900,0.010300,0.003600,4,69,962.552073,lp_optimal,reached_optimality=1,moderate,1,939.838047,2
ip,lrsp_n005_f02_moderate_s1,5,2,,0.035000,0.024900,0.003700,4,69,962.552073,lp_optimal,reached_optimality=1,moderate,1,939.838047,2
dp,lrsp_n005_f02_moderate_s2,5,2,,0.023300,0.014500,0.003500,4,73,839.691269,lp_optimal,reached_optimality=1,moderate,2,830.561185,2
ip,lrsp_n005_f02_moderate_s2,5,2,,0.032100,0.022000,0.004600,4,73,839.691269,lp_optimal,reached_optimality=1,moderate,2,830.561185,2
dp,lrsp_n005_f02_moderate_s3,5,2,,0.016800,0.010200,0.003600,4,69,601.230483,lp_optimal,reached_optimality=1,moderate,3,601.230483,2
ip,lrsp_n005_f02_moderate_s3,5,2,,0.022400,0.015100,0.004300,4,69,601.230483,lp_optimal,reached_optimality=1,moderate,3,601.230483,2
dp,lrsp_n005_f02_tight_s1,5,2,,0.009600,0.002900,0.003600,3,48,1597.946395,lp_optimal,reached_optimality=1,tight,1,1595.741536,0
ip,lrsp_n005_f02_tight_s1,5,2,,0.017000,0.010100,0.003800,3,48,1597.946395,lp_optimal,reached_optimality=1,tight,1,1595.741536,0
dp,lrsp_n005_f02_tight_s2,5,2,,0.015800,0.007400,0.003400,4,58,1383.580972,lp_optimal,reached_optimality=1,tight,2,1362.745437,0
ip,lrsp_n005_f02_tight_s2,5,2,,0.034200,0.024600,0.004300,4,58,1383.580972,lp_optimal,reached_optimality=1,tight,2,1362.745437,0
dp,lrsp_n005_f02_tight_s3,5,2,,0.009100,0.002900,0.004000,3,29,888.170092,lp_optimal,reached_optimality=1,tight,3,888.170092,0
ip,lrsp_n005_f02_tight_s3,5,2,,0.014700,0.008500,0.003700,3,29,888.170092,lp_optimal,reached_optimality=1,tight,3,888.170092,0
dp,lrsp_n006_f02_easy_s1,6,2,,0.662500,0.652000,0.005300,6,100,740.257882,lp_optimal,reached_optimality=1,easy,1,720.857751,2
ip,lrsp_n006_f02_easy_s1,6,2,,0.093200,0.084500,0.004700,6,100,740.257882,lp_optimal,reached_optimality=1,easy,1,720.857751,2
dp,lrsp_n006_f02_easy_s2,6,2,,0.289700,0.280400,0.004800,6,121,583.217786,lp_optimal,reached_optimality=1,easy,2,583.217786,0
ip,lrsp_n006_f02_easy_s2,6,2,,0.073500,0.065000,0.004400,6,121,583.217786,lp_optimal,reached_optimality=1,easy,2,583.217786,0
dp,lrsp_n006_f02_easy_s3,6,2,,0.637000,0.624800,0.004900,6,123,780.489880,lp_optimal,reached_optimality=1,easy,3,756.546655,2
ip,lrsp_n006_f02_easy_s3,6,2,,0.102100,0.089800,0.004300,6,123,780.489880,lp_optimal,reached_optimality=1,easy,3,756.546655,2
dp,lrsp_n006_f02_moderate_s1,6,2,,0.129600,0.122900,0.003600,4,66,816.655053,lp_optimal,reached_optimality=1,moderate,1,816.655053,1
ip,lrsp_n006_f02_moderate_s1,6,2,,0.024500,0.018500,0.003500,4,66,816.655053,lp_optimal,reached_optimality=1,moderate,1,816.655053,1
dp,lrsp_n006_f02_moderate_s2,6,2,,0.065800,0.059000,0.003800,4,80,645.732244,lp_optimal,reached_optimality=1,moderate,2,645.732244,0
ip,lrsp_n006_f02_moderate_s2,6,2,,0.021700,0.015100,0.003700,4,80,645.732244,lp_optimal,reached_optimality=1,moderate,2,645.732244,0
dp,lrsp_n006_f02_moderate_s3,6,2,,0.271500,0.264200,0.003800,5,96,814.288517,lp_optimal,reached_optimality=1,moderate,3,814.288517,2
ip,lrsp_n006_f02_moderate_s3,6,2,,0.042600,0.035500,0.003800,5,96,814.288517,lp_optimal,reached_optimality=1,moderate,3,814.288517,2
dp,lrsp_n006_f02_tight_s1,6,2,,0.018200,0.011700,0.003900,3,47,1328.409345,lp_optimal,reached_optimality=1,tight,1,1301.041192,0
ip,lrsp_n006_f02_tight_s1,6,2,,0.016900,0.009500,0.004100,3,47,1328.409345,lp_optimal,reached_optimality=1,tight,1,1301.041192,0
dp,lrsp_n006_f02_tight_s2,6,2,,0.007900,0.000500,0.003800,2,28,961.045475,lp_optimal,reached_optimality=1,tight,2,932.578555,0
ip,lrsp_n006_f02_tight_s2,6,2,,0.007800,0.000500,0.003800,2,28,961.045475,lp_optimal,reached_optimality=1,tight,2,932.578555,0
dp,lrsp_n006_f02_tight_s3,6,2,,0.041000,0.033200,0.004100,4,57,1378.811440,lp_optimal,reached_optimality=1,tight,3,1374.694261,0
ip,lrsp_n006_f02_tight_s3,6,2,,0.020700,0.012800,0.004400,4,57,1378.811440,lp_optimal,reached_optimality=1,tight,3,1374.694261,0
dp,lrsp_n007_f02_easy_s1,7,2,,25.499400,25.477600,0.008000,9,145,750.214877,lp_optimal,reached_optimality=1,easy,1,716.685933,2
ip,lrsp_n007_f02_easy_s1,7,2,,0.528500,0.510500,0.006900,8,146,750.214877,lp_optimal,reached_optimality=1,easy,1,716.685933,2
dp,lrsp_n007_f02_easy_s2,7,2,,16.409700,16.395400,0.005600,7,123,787.824304,lp_optimal,reached_optimality=1,easy,2,746.681146,2
ip,lrsp_n007_f02_easy_s2,7,2,,0.502800,0.487200,0.006000,7,123,787.824304,lp_optimal,reached_optimality=1,easy,2,746.681146,2
dp,lrsp_n007_f02_easy_s3,7,2,,17.412400,17.396300,0.006400,6,137,961.352764,lp_optimal,reached_optimality=1,easy,3,946.880828,2
ip,lrsp_n007_f02_easy_s3,7,2,,0.336500,0.322600,0.005400,6,137,961.352764,lp_optimal,reached_optimality=1,easy,3,946.880828,2
dp,lrsp_n007_f02_moderate_s1,7,2,,7.039800,7.025900,0.005200,7,126,888.767843,lp_optimal,reached_optimality=1,moderate,1,831.816691,0
ip,lrsp_n007_f02_moderate_s1,7,2,,0.111900,0.099000,0.005400,7,126,888.767843,lp_optimal,reached_optimality=1,moderate,1,831.816691,0
dp,lrsp_n007_f02_moderate_s2,7,2,,9.050100,9.038900,0.006300,7,149,823.916555,lp_optimal,reached_optimality=1,moderate,2,823.916555,0
ip,lrsp_n007_f02_moderate_s2,7,2,,0.115400,0.105800,0.005100,7,149,823.916555,lp_optimal,reached_optimality=1,moderate,2,823.916555,0
dp,lrsp_n007_f02_moderate_s3,7,2,,4.522600,4.507900,0.005000,5,110,1138.916863,lp_optimal,reached_optimality=1,moderate,3,1090.605556,0
ip,lrsp_n007_f02_moderate_s3,7,2,,0.092000,0.079200,0.004100,5,110,1138.916863,lp_optimal,reached_optimality=1,moderate,3,1090.605556,0
dp,lrsp_n007_f02_tight_s1,7,2,,0.242100,0.234600,0.003900,5,82,1207.368395,lp_optimal,reached_optimality=1,tight,1,1207.368395,0
ip,lrsp_n007_f02_tight_s1,7,2,,0.021800,0.015100,0.003900,5,82,1207.368395,lp_optimal,reached_optimality=1,tight,1,1207.368395,0
dp,lrsp_n007_f02_tight_s2,7,2,,0.637500,0.629400,0.004100,5,73,1280.941849,lp_optimal,reached_optimality=1,tight,2,1271.649258,0
ip,lrsp_n007_f02_tight_s2,7,2,,0.023800,0.016400,0.003900,5,73,1280.941849,lp_optimal,reached_optimality=1,tight,2,1271.649258,0
dp,lrsp_n007_f02_tight_s3,7,2,,0.288100,0.281500,0.003500,4,60,1775.047301,lp_optimal,reached_optimality=1,tight,3,1775.047301,0
ip,lrsp_n007_f02_tight_s3,7,2,,0.021400,0.015400,0.003500,4,60,1775.047301,lp_optimal,reached_optimality=1,tight,3,1775.047301,0
ip,lrsp_n008_f02_easy_s1,8,2,,1.272200,1.257700,0.005700,8,133,943.297575,lp_optimal,reached_optimality=1,easy,1,903.457946,2
dp,lrsp_n008_f02_easy_s2,8,2,,475.873100,475.854600,0.008800,6,157,778.943466,lp_optimal,reached_optimality=1,easy,2,754.999626,2
ip,lrsp_n008_f02_easy_s2,8,2,,1.422000,1.406300,0.005500,6,157,778.943466,lp_optimal,reached_optimality=1,easy,2,754.999626,2
dp,lrsp_n008_f02_easy_s3,8,2,,487.783500,487.769300,0.006800,8,173,807.954734,lp_optimal,reached_optimality=1,easy,3,807.954734,2
ip,lrsp_n008_f02_easy_s3,8,2,,1.103300,1.091500,0.006100,8,173,807.954734,lp_optimal,reached_optimality=1,easy,3,807.954734,2
dp,lrsp_n008_f02_moderate_s1,8,2,,267.363200,267.349500,0.008600,7,151,1047.109269,lp_optimal,reached_optimality=1,moderate,1,1047.109269,2
ip,lrsp_n008_f02_moderate_s1,8,2,,0.180200,0.170700,0.005100,8,146,1047.109269,lp_optimal,reached_optimality=1,moderate,1,1047.109269,1
dp,lrsp_n008_f02_moderate_s2,8,2,,368.632500,368.621400,0.006000,7,145,832.041328,lp_optimal,reached_optimality=1,moderate,2,832.041328,0
ip,lrsp_n008_f02_moderate_s2,8,2,,0.367500,0.356800,0.005300,7,145,832.041328,lp_optimal,reached_optimality=1,moderate,2,832.041328,0
dp,lrsp_n008_f02_moderate_s3,8,2,,206.330500,206.316400,0.006400,6,140,955.703586,lp_optimal,reached_optimality=1,moderate,3,914.000707,0
ip,lrsp_n008_f02_moderate_s3,8,2,,0.152500,0.141300,0.004700,6,140,955.703586,lp_optimal,reached_optimality=1,moderate,3,914.000707,0
dp,lrsp_n008_f02_tight_s1,8,2,,6.149400,6.140600,0.004600,6,88,1650.541539,lp_optimal,reached_optimality=1,tight,1,1649.515591,0
ip,lrsp_n008_f02_tight_s1,8,2,,0.030800,0.021900,0.005300,6,88,1650.541539,lp_optimal,reached_optimality=1,tight,1,1649.515591,0
dp,lrsp_n008_f02_tight_s2,8,2,,15.935400,15.926700,0.004500,5,97,1274.684591,lp_optimal,reached_optimality=1,tight,2,1274.684591,0
ip,lrsp_n008_f02_tight_s2,8,2,,0.033200,0.025700,0.004300,5,97,1274.684591,lp_optimal,reached_optimality=1,tight,2,1274.684591,0
dp,lrsp_n008_f02_tight_s3,8,2,,8.358700,8.349200,0.004200,5,76,1446.494172,lp_optimal,reached_optimality=1,tight,3,1422.824244,0
ip,lrsp_n008_f02_tight_s3,8,2,,0.023100,0.014700,0.003600,5,76,1446.494172,lp_optimal,reached_optimality=1,tight,3,1422.824244,0
ip,lrsp_n009_f03_easy_s1,9,3,,4.451600,4.431000,0.009800,11,340,657.158292,lp_optimal,reached_optimality=1,easy,1,657.158292,3
ip,lrsp_n009_f03_easy_s2,9,3,,10.383500,10.350700,0.008600,10,302,680.907332,lp_optimal,reached_optimality=1,easy,2,646.755153,3
