method,instance,n_customers,n_facilities,n_periods,total_time,pricing_time,master_time,iterations,columns_generated,objective,status,notes,regime,seed,root_lp_objective,phase2_pairing_columns
dp,lrsp_n005_f02_easy_s1,5,2,,0.019800,0.015700,0.002200,5,99,815.383240,lp_optimal,reached_optimality=1,easy,1,815.383240,0
ip,lrsp_n005_f02_easy_s1,5,2,,0.027000,0.022900,0.002300,5,99,815.383240,lp_optimal,reached_optimality=1,easy,1,815.383240,0
dp,lrsp_n005_f02_easy_s2,5,2,,0.019200,0.015400,0.002200,5,87,764.901398,lp_optimal,reached_optimality=1,easy,2,764.901398,0
ip,lrsp_n005_f02_easy_s2,5,2,,0.019100,0.015000,0.002300,5,87,764.901398,lp_optimal,reached_optimality=1,easy,2,764.901398,0
dp,lrsp_n005_f02_easy_s3,5,2,,0.019200,0.015100,0.002300,5,69,555.020443,lp_optimal,reached_optimality=1,easy,3,555.020443,0
ip,lrsp_n005_f02_easy_s3,5,2,,0.018500,0.014800,0.002200,5,69,555.020443,lp_optimal,reached_optimality=1,easy,3,555.020443,0
dp,lrsp_n005_f02_moderate_s1,5,2,,0.011700,0.006000,0.002100,4,69,962.552073,lp_optimal,reached_optimality=1,moderate,1,939.838047,2
ip,lrsp_n005_f02_moderate_s1,5,2,,0.019300,0.013500,0.002200,4,69,962.552073,lp_optimal,reached_optimality=1,moderate,1,939.838047,2
dp,lrsp_n005_f02_moderate_s2,5,2,,0.014400,0.009300,0.002100,4,73,839.691269,lp_optimal,reached_optimality=1,moderate,2,830.561185,2
ip,lrsp_n005_f02_moderate_s2,5,2,,0.016800,0.011500,0.002200,4,73,839.691269,lp_optimal,reached_optimality=1,moderate,2,830.561185,2
dp,lrsp_n005_f02_moderate_s3,5,2,,0.009200,0.005600,0.002200,4,69,601.230483,lp_optimal,reached_optimality=1,moderate,3,601.230483,2
ip,lrsp_n005_f02_moderate_s3,5,2,,0.011600,0.007800,0.002100,4,69,601.230483,lp_optimal,reached_optimality=1,moderate,3,601.230483,2
dp,lrsp_n005_f02_tight_s1,5,2,,0.004600,0.001200,0.001900,3,48,1597.946395,lp_optimal,reached_optimality=1,tight,1,1595.741536,0
ip,lrsp_n005_f02_tight_s1,5,2,,0.008000,0.004400,0.001900,3,48,1597.946395,lp_optimal,reached_optimality=1,tight,1,1595.741536,0
dp,lrsp_n005_f02_tight_s2,5,2,,0.010300,0.005600,0.002200,4,58,1383.580972,lp_optimal,reached_optimality=1,tight,2,1362.745437,0
