method,instance,n_customers,n_facilities,n_periods,total_time,pricing_time,master_time,iterations,columns_generated,objective,status,notes,regime,seed,root_lp_objective,phase2_pairing_columns
dp,mespprc_n003_rep0,3,,,0.000088,0.000088,,,7,111.596713044,feasible,standalone_phase2; phase1_ms=0.047200,,15345,,
ip,mespprc_n003_rep0,3,,,0.002679,0.002679,,,7,111.596713044,feasible,standalone_phase2; phase1_ms=0.047200,,15345,,
dp,mespprc_n003_rep1,3,,,0.000103,0.000103,,,9,174.640443417,feasible,standalone_phase2; phase1_ms=0.040600,,15346,,
ip,mespprc_n003_rep1,3,,,0.000913,0.000913,,,9,174.640443417,feasible,standalone_phase2; phase1_ms=0.040600,,15346,,
dp,mespprc_n003_rep2,3,,,0.000037,0.000037,,,8,,infeasible,standalone_phase2; phase1_ms=0.025900,,15347,,
ip,mespprc_n003_rep2,3,,,0.000724,0.000724,,,8,,infeasible,standalone_phase2; phase1_ms=0.025900,,15347,,
dp,mespprc_n003_rep3,3,,,0.000040,0.000040,,,7,168.108136309,feasible,standalone_phase2; phase1_ms=0.022800,,15348,,
ip,mespprc_n003_rep3,3,,,0.000720,0.000720,,,7,168.108136309,feasible,standalone_phase2; phase1_ms=0.022800,,15348,,
dp,mespprc_n003_rep4,3,,,0.000033,0.000033,,,8,,infeasible,standalone_phase2; phase1_ms=0.021600,,15349,,
ip,mespprc_n003_rep4,3,,,0.000739,0.000739,,,8,,infeasible,standalone_phase2; phase1_ms=0.021600,,15349,,
dp,mespprc_n004_rep0,4,,,0.000178,0.000178,,,16,,infeasible,standalone_phase2; phase1_ms=0.087700,,16345,,
ip,mespprc_n004_rep0,4,,,0.003558,0.003558,,,16,,infeasible,standalone_phase2; phase1_ms=0.087700,,16345,,
dp,mespprc_n004_rep1,4,,,0.000193,0.000193,,,18,252.625100556,feasible,standalone_phase2; phase1_ms=0.081800,,16346,,
ip,mespprc_n004_rep1,4,,,0.001637,0.001637,,,18,252.625100556,feasible,standalone_phase2; phase1_ms=0.081800,,16346,,
dp,mespprc_n004_rep2,4,,,0.000233,0.000233,,,18,215.108776545,feasible,standalone_phase2; phase1_ms=0.141900,,16347,,
ip,mespprc_n004_rep2,4,,,0.004471,0.004471,,,18,215.108776545,feasible,standalone_phase2; phase1_ms=0.141900,,16347,,
dp,mespprc_n004_rep3,4,,,0.000145,0.000145,,,14,202.104302100,feasible,standalone_phase2; phase1_ms=0.080200,,16348,,
ip,mespprc_n004_rep3,4,,,0.001667,0.001667,,,14,202.104302100,feasible,standalone_phase2; phase1_ms=0.080200,,16348,,
dp,mespprc_n004_rep4,4,,,0.000144,0.000144,,,15,243.632533111,feasible,standalone_phase2; phase1_ms=0.066600,,16349,,
ip,mespprc_n004_rep4,4,,,0.000981,0.000981,,,15,243.632533111,feasible,standalone_phase2; phase1_ms=0.066600,,16349,,
dp,mespprc_n005_rep0,5,,,0.000624,0.000624,,,24,,infeasible,standalone_phase2; phase1_ms=0.161300,,17345,,
ip,mespprc_n005_rep0,5,,,0.000946,0.000946,,,24,,infeasible,standalone_phase2; phase1_ms=0.161300,,17345,,
dp,mespprc_n005_rep1,5,,,0.000633,0.000633,,,24,298.949422954,feasible,standalone_phase2; phase1_ms=0.156100,,17346,,
ip,mespprc_n005_rep1,5,,,0.001293,0.001293,,,24,298.949422954,feasible,standalone_phase2; phase1_ms=0.156100,,17346,,
dp,mespprc_n005_rep2,5,,,0.000772,0.000772,,,28,225.046028492,feasible,standalone_phase2; phase1_ms=0.218400,,17347,,
ip,mespprc_n005_rep2,5,,,0.002089,0.002089,,,28,225.046028492,feasible,standalone_phase2; phase1_ms=0.218400,,17347,,
dp,mespprc_n005_rep3,5,,,0.000866,0.000866,,,30,291.253991473,feasible,standalone_phase2; phase1_ms=0.346600,,17348,,
ip,mespprc_n005_rep3,5,,,0.001730,0.001730,,,30,291.253991473,feasible,standalone_phase2; phase1_ms=0.346600,,17348,,
dp,mespprc_n005_rep4,5,,,0.001096,0.001096,,,31,244.623238342,feasible,standalone_phase2; phase1_ms=0.204100,,17349,,
ip,mespprc_n005_rep4,5,,,0.002063,0.002063,,,31,244.623238342,feasible,standalone_phase2; phase1_ms=0.204100,,17349,,
dp,mespprc_n006_rep0,6,,,0.007529,0.007529,,,30,335.616646489,feasible,standalone_phase2; phase1_ms=0.366300,,18345,,
ip,mespprc_n006_rep0,6,,,0.001414,0.001414,,,30,335.616646489,feasible,standalone_phase2; phase1_ms=0.366300,,18345,,
dp,mespprc_n006_rep1,6,,,0.010252,0.010252,,,40,320.047927279,feasible,standalone_phase2; phase1_ms=0.304900,,18346,,
ip,mespprc_n006_rep1,6,,,0.002489,0.002489,,,40,320.047927279,feasible,standalone_phase2; phase1_ms=0.304900,,18346,,
dp,mespprc_n006_rep2,6,,,0.006979,0.006979,,,30,274.706931650,feasible,standalone_phase2; phase1_ms=0.370900,,18347,,
ip,mespprc_n006_rep2,6,,,0.004507,0.004507,,,30,274.706931650,feasible,standalone_phase2; phase1_ms=0.370900,,18347,,
dp,mespprc_n006_rep3,6,,,0.012301,0.012301,,,49,278.941603627,feasible,standalone_phase2; phase1_ms=0.499600,,18348,,
ip,mespprc_n006_rep3,6,,,0.004351,0.004351,,,49,278.941603627,feasible,standalone_phase2; phase1_ms=0.499600,,18348,,
dp,mespprc_n006_rep4,6,,,0.010313,0.010313,,,40,326.926638903,feasible,standalone_phase2; phase1_ms=0.421600,,18349,,
ip,mespprc_n006_rep4,6,,,0.001946,0.001946,,,40,326.926638903,feasible,standalone_phase2; phase1_ms=0.421600,,18349,,
dp,mespprc_n007_rep0,7,,,0.089850,0.089850,,,36,404.758652086,feasible,standalone_phase2; phase1_ms=0.822100,,19345,,
ip,mespprc_n007_rep0,7,,,0.005377,0.005377,,,36,404.758652086,feasible,standalone_phase2; phase1_ms=0.822100,,19345,,
dp,mespprc_n007_rep1,7,,,0.146606,0.146606,,,49,318.261944537,feasible,standalone_phase2; phase1_ms=0.889200,,19346,,
ip,mespprc_n007_rep1,7,,,0.005632,0.005632,,,49,318.261944537,feasible,standalone_phase2; phase1_ms=0.889200,,19346,,
dp,mespprc_n007_rep2,7,,,0.225589,0.225589,,,56,385.456281218,feasible,standalone_phase2; phase1_ms=0.931000,,19347,,
ip,mespprc_n007_rep2,7,,,0.007379,0.007379,,,56,385.456281218,feasible,standalone_phase2; phase1_ms=0.931000,,19347,,
dp,mespprc_n007_rep3,7,,,0.250847,0.250847,,,53,400.866800871,feasible,standalone_phase2; phase1_ms=0.859900,,19348,,
ip,mespprc_n007_rep3,7,,,0.002848,0.002848,,,53,400.866800871,feasible,standalone_phase2; phase1_ms=0.859900,,19348,,
dp,mespprc_n007_rep4,7,,,0.193719,0.193719,,,79,372.352880249,feasible,standalone_phase2; phase1_ms=0.774800,,19349,,
