instance,n,f,regime,seed,pricing,status,iterations,pricing_calls,total_columns,seed_columns,phase1_route_columns,phase2_pairing_columns,max_routes_per_column,avg_routes_per_pairing,reached_optimality,total_seconds,master_seconds,pricing_seconds,root_lp_objective,integer_objective,open_facilities
lrsp_n005_f02_easy_s1,5,2,easy,1,dp,lp_optimal,5,10,99,10,89,0,1,0.0000,1,0.036400,0.003900,0.028700,815.383240,815.383240,1
lrsp_n005_f02_easy_s1,5,2,easy,1,ip,lp_optimal,5,10,99,10,89,0,1,0.0000,1,0.049800,0.004000,0.042200,815.383240,815.383240,1
lrsp_n005_f02_easy_s2,5,2,easy,2,dp,lp_optimal,5,10,87,10,77,0,1,0.0000,1,0.035600,0.004200,0.028000,764.901398,764.901398,1
lrsp_n005_f02_easy_s2,5,2,easy,2,ip,lp_optimal,5,10,87,10,77,0,1,0.0000,1,0.035500,0.004500,0.027800,764.901398,764.901398,1
lrsp_n005_f02_easy_s3,5,2,easy,3,dp,lp_optimal,5,10,69,10,59,0,1,0.0000,1,0.035700,0.004100,0.028800,555.020443,555.020443,1
lrsp_n005_f02_easy_s3,5,2,easy,3,ip,lp_optimal,5,10,69,10,59,0,1,0.0000,1,0.031800,0.003700,0.025300,555.020443,555.020443,1
lrsp_n005_f02_moderate_s1,5,2,moderate,1,dp,lp_optimal,4,8,69,10,57,2,2,2.0000,1,0.020900,0.003600,0.010300,939.838047,962.552073,1
lrsp_n005_f02_moderate_s1,5,2,moderate,1,ip,lp_optimal,4,8,69,10,57,2,2,2.0000,1,0.035000,0.003700,0.024900,939.838047,962.552073,1
lrsp_n005_f02_moderate_s2,5,2,moderate,2,dp,lp_optimal,4,8,73,10,61,2,2,2.0000,1,0.023300,0.003500,0.014500,830.561185,839.691269,1
lrsp_n005_f02_moderate_s2,5,2,moderate,2,ip,lp_optimal,4,8,73,10,61,2,2,2.0000,1,0.032100,0.004600,0.022000,830.561185,839.691269,1
lrsp_n005_f02_moderate_s3,5,2,moderate,3,dp,lp_optimal,4,8,69,10,57,2,2,2.0000,1,0.016800,0.003600,0.010200,601.230483,601.230483,1
lrsp_n005_f02_moderate_s3,5,2,moderate,3,ip,lp_optimal,4,8,69,10,57,2,2,2.0000,1,0.022400,0.004300,0.015100,601.230483,601.230483,1
lrsp_n005_f02_tight_s1,5,2,tight,1,dp,lp_optimal,3,6,48,10,38,0,1,0.0000,1,0.009600,0.003600,0.002900,1595.741536,1597.946395,2
lrsp_n005_f02_tight_s1,5,2,tight,1,ip,lp_optimal,3,6,48,10,38,0,1,0.0000,1,0.017000,0.003800,0.010100,1595.741536,1597.946395,2
lrsp_n005_f02_tight_s2,5,2,tight,2,dp,lp_optimal,4,8,58,10,48,0,1,0.0000,1,0.015800,0.003400,0.007400,1362.745437,1383.580972,2
lrsp_n005_f02_tight_s2,5,2,tight,2,ip,lp_optimal,4,8,58,10,48,0,1,0.0000,1,0.034200,0.004300,0.024600,1362.745437,1383.580972,2
lrsp_n005_f02_tight_s3,5,2,tight,3,dp,lp_optimal,3,6,29,10,19,0,1,0.0000,1,0.009100,0.004000,0.002900,888.170092,888.170092,2
lrsp_n005_f02_tight_s3,5,2,tight,3,ip,lp_optimal,3,6,29,10,19,0,1,0.0000,1,0.014700,0.003700,0.008500,888.170092,888.170092,2
lrsp_n006_f02_easy_s1,6,2,easy,1,dp,lp_optimal,6,12,100,12,86,2,2,2.0000,1,0.662500,0.005300,0.652000,720.857751,740.257882,1
lrsp_n006_f02_easy_s1,6,2,easy,1,ip,lp_optimal,6,12,100,12,86,2,2,2.0000,1,0.093200,0.004700,0.084500,720.857751,740.257882,1
lrsp_n006_f02_easy_s2,6,2,easy,2,dp,lp_optimal,6,12,121,12,109,0,1,0.0000,1,0.289700,0.004800,0.280400,583.217786,583.217786,1
lrsp_n006_f02_easy_s2,6,2,easy,2,ip,lp_optimal,6,12,121,12,109,0,1,0.0000,1,0.073500,0.004400,0.065000,583.217786,583.217786,1
lrsp_n006_f02_easy_s3,6,2,easy,3,dp,lp_optimal,6,12,123,12,109,2,2,2.0000,1,0.637000,0.004900,0.624800,756.546655,780.489880,1
lrsp_n006_f02_easy_s3,6,2,easy,3,ip,lp_optimal,6,12,123,12,109,2,2,2.0000,1,0.102100,0.004300,0.089800,756.546655,780.489880,1
lrsp_n006_f02_moderate_s1,6,2,moderate,1,dp,lp_optimal,4,8,66,12,53,1,2,2.0000,1,0.129600,0.003600,0.122900,816.655053,816.655053,1
lrsp_n006_f02_moderate_s1,6,2,moderate,1,ip,lp_optimal,4,8,66,12,53,1,2,2.0000,1,0.024500,0.003500,0.018500,816.655053,816.655053,1
lrsp_n006_f02_moderate_s2,6,2,moderate,2,dp,lp_optimal,4,8,80,12,68,0,1,0.0000,1,0.065800,0.003800,0.059000,645.732244,645.732244,1
lrsp_n006_f02_moderate_s2,6,2,moderate,2,ip,lp_optimal,4,8,80,12,68,0,1,0.0000,1,0.021700,0.003700,0.015100,645.732244,645.732244,1
lrsp_n006_f02_moderate_s3,6,2,moderate,3,dp,lp_optimal,5,10,96,12,82,2,2,2.0000,1,0.271500,0.003800,0.264200,814.288517,814.288517,1
lrsp_n006_f02_moderate_s3,6,2,moderate,3,ip,lp_optimal,5,10,96,12,82,2,2,2.0000,1,0.042600,0.003800,0.035500,814.288517,814.288517,1
lrsp_n006_f02_tight_s1,6,2,tight,1,dp,lp_optimal,3,6,47,12,35,0,1,0.0000,1,0.018200,0.003900,0.011700,1301.041192,1328.409345,2
lrsp_n006_f02_tight_s1,6,2,tight,1,ip,lp_optimal,3,6,47,12,35,0,1,0.0000,1,0.016900,0.004100,0.009500,1301.041192,1328.409345,2
lrsp_n006_f02_tight_s2,6,2,tight,2,dp,lp_optimal,2,4,28,9,19,0,1,0.0000,1,0.007900,0.003800,0.000500,932.578555,961.045475,2
lrsp_n006_f02_tight_s2,6,2,tight,2,ip,lp_optimal,2,4,28,9,19,0,1,0.0000,1,0.007800,0.003800,0.000500,932.578555,961.045475,2
lrsp_n006_f02_tight_s3,6,2,tight,3,dp,lp_optimal,4,8,57,12,45,0,1,0.0000,1,0.041000,0.004100,0.033200,1374.694261,1378.811440,2
