instance,n,f,regime,seed,pricing,status,iterations,pricing_calls,total_columns,seed_columns,phase1_route_columns,phase2_pairing_columns,max_routes_per_column,avg_routes_per_pairing,reached_optimality,total_seconds,master_seconds,pricing_seconds,root_lp_objective,integer_objective,open_facilities
lrsp_n005_f02_easy_s1,5,2,easy,1,dp,lp_optimal,5,10,99,10,89,0,1,0.0000,1,0.038000,0.005900,0.022000,815.383240,815.383240,1
lrsp_n005_f02_easy_s1,5,2,easy,1,ip,lp_optimal,5,10,99,10,89,0,1,0.0000,1,0.051700,0.003500,0.045300,815.383240,815.383240,1
lrsp_n005_f02_easy_s2,5,2,easy,2,dp,lp_optimal,5,10,87,10,77,0,1,0.0000,1,0.026600,0.002500,0.015900,764.901398,764.901398,1
lrsp_n005_f02_easy_s2,5,2,easy,2,ip,lp_optimal,5,10,87,10,77,0,1,0.0000,1,0.024800,0.006900,0.016000,764.901398,764.901398,1
lrsp_n005_f02_easy_s3,5,2,easy,3,dp,lp_optimal,5,10,69,10,59,0,1,0.0000,1,0.019300,0.002200,0.015400,555.020443,555.020443,1
lrsp_n005_f02_easy_s3,5,2,easy,3,ip,lp_optimal,5,10,69,10,59,0,1,0.0000,1,0.022100,0.002300,0.018000,555.020443,555.020443,1
lrsp_n005_f02_moderate_s1,5,2,moderate,1,dp,lp_optimal,4,8,69,10,57,2,2,2.0000,1,0.016600,0.002100,0.006300,939.838047,962.552073,1
lrsp_n005_f02_moderate_s1,5,2,moderate,1,ip,lp_optimal,4,8,69,10,57,2,2,2.0000,1,0.020900,0.003200,0.014200,939.838047,962.552073,1
lrsp_n005_f02_moderate_s2,5,2,moderate,2,dp,lp_optimal,4,8,73,10,61,2,2,2.0000,1,0.015000,0.002100,0.009000,830.561185,839.691269,1
lrsp_n005_f02_moderate_s2,5,2,moderate,2,ip,lp_optimal,4,8,73,10,61,2,2,2.0000,1,0.018600,0.003600,0.011800,830.561185,839.691269,1
lrsp_n005_f02_moderate_s3,5,2,moderate,3,dp,lp_optimal,4,8,69,10,57,2,2,2.0000,1,0.010100,0.002200,0.006300,601.230483,601.230483,1
lrsp_n005_f02_moderate_s3,5,2,moderate,3,ip,lp_optimal,4,8,69,10,57,2,2,2.0000,1,0.012000,0.002400,0.007900,601.230483,601.230483,1
lrsp_n005_f02_tight_s1,5,2,tight,1,dp,lp_optimal,3,6,48,10,38,0,1,0.0000,1,0.005700,0.001900,0.001200,1595.741536,1597.946395,2
lrsp_n005_f02_tight_s1,5,2,tight,1,ip,lp_optimal,3,6,48,10,38,0,1,0.0000,1,0.008000,0.002000,0.004500,1595.741536,1597.946395,2
lrsp_n005_f02_tight_s2,5,2,tight,2,dp,lp_optimal,4,8,58,10,48,0,1,0.0000,1,0.009200,0.002100,0.004000,1362.745437,1383.580972,2
lrsp_n005_f02_tight_s2,5,2,tight,2,ip,lp_optimal,4,8,58,10,48,0,1,0.0000,1,0.019300,0.002200,0.014500,1362.745437,1383.580972,2
lrsp_n005_f02_tight_s3,5,2,tight,3,dp,lp_optimal,3,6,29,10,19,0,1,0.0000,1,0.004200,0.002000,0.001000,888.170092,888.170092,2
lrsp_n005_f02_tight_s3,5,2,tight,3,ip,lp_optimal,3,6,29,10,19,0,1,0.0000,1,0.008400,0.002000,0.004700,888.170092,888.170092,2
lrsp_n006_f02_easy_s1,6,2,easy,1,dp,lp_optimal,6,12,100,12,86,2,2,2.0000,1,0.389100,0.002700,0.383800,720.857751,740.257882,1
lrsp_n006_f02_easy_s1,6,2,easy,1,ip,lp_optimal,6,12,100,12,86,2,2,2.0000,1,0.055200,0.002600,0.050100,720.857751,740.257882,1
lrsp_n006_f02_easy_s2,6,2,easy,2,dp,lp_optimal,6,12,121,12,109,0,1,0.0000,1,0.189200,0.002800,0.183800,583.217786,583.217786,1
lrsp_n006_f02_easy_s2,6,2,easy,2,ip,lp_optimal,6,12,121,12,109,0,1,0.0000,1,0.045100,0.002900,0.039500,583.217786,583.217786,1
lrsp_n006_f02_easy_s3,6,2,easy,3,dp,lp_optimal,6,12,123,12,109,2,2,2.0000,1,0.436000,0.002800,0.428800,756.546655,780.489880,1
lrsp_n006_f02_easy_s3,6,2,easy,3,ip,lp_optimal,6,12,123,12,109,2,2,2.0000,1,0.071400,0.004600,0.062400,756.546655,780.489880,1
lrsp_n006_f02_moderate_s1,6,2,moderate,1,dp,lp_optimal,4,8,66,12,53,1,2,2.0000,1,0.101700,0.002500,0.096400,816.655053,816.655053,1
lrsp_n006_f02_moderate_s1,6,2,moderate,1,ip,lp_optimal,4,8,66,12,53,1,2,2.0000,1,0.017300,0.002300,0.013100,816.655053,816.655053,1
lrsp_n006_f02_moderate_s2,6,2,moderate,2,dp,lp_optimal,4,8,80,12,68,0,1,0.0000,1,0.049400,0.003500,0.044000,645.732244,645.732244,1
lrsp_n006_f02_moderate_s2,6,2,moderate,2,ip,lp_optimal,4,8,80,12,68,0,1,0.0000,1,0.014700,0.002500,0.010400,645.732244,645.732244,1
lrsp_n006_f02_moderate_s3,6,2,moderate,3,dp,lp_optimal,5,10,96,12,82,2,2,2.0000,1,0.188900,0.002800,0.183600,814.288517,814.288517,1
lrsp_n006_f02_moderate_s3,6,2,moderate,3,ip,lp_optimal,5,10,96,12,82,2,2,2.0000,1,0.039300,0.002900,0.031700,814.288517,814.288517,1
lrsp_n006_f02_tight_s1,6,2,tight,1,dp,lp_optimal,3,6,47,12,35,0,1,0.0000,1,0.011500,0.002300,0.007400,1301.041192,1328.409345,2
lrsp_n006_f02_tight_s1,6,2,tight,1,ip,lp_optimal,3,6,47,12,35,0,1,0.0000,1,0.008800,0.002100,0.005200,1301.041192,1328.409345,2
lrsp_n006_f02_tight_s2,6,2,tight,2,dp,lp_optimal,2,4,28,9,19,0,1,0.0000,1,0.006300,0.004500,0.000200,932.578555,961.045475,2
lrsp_n006_f02_tight_s2,6,2,tight,2,ip,lp_optimal,2,4,28,9,19,0,1,0.0000,1,0.006400,0.004800,0.000200,932.578555,961.045475,2
lrsp_n006_f02_tight_s3,6,2,tight,3,dp,lp_optimal,4,8,57,12,45,0,1,0.0000,1,0.023600,0.005000,0.016500,1374.694261,1378.811440,2
lrsp_n007_f02_easy_s1,7,2,easy,1,dp,lp_optimal,9,18,145,14,129,2,2,2.0000,1,14.025900,0.003800,14.016000,716.685933,750.214877,1
lrsp_n007_f02_easy_s1,7,2,easy,1,ip,lp_optimal,8,16,146,14,130,2,2,2.0000,1,0.276000,0.003200,0.267100,716.685933,750.214877,1
lrsp_n007_f02_easy_s2,7,2,easy,2,dp,lp_optimal,7,14,123,14,107,2,2,2.0000,1,9.643800,0.003200,9.636100,746.681146,787.824304,1
lrsp_n007_f02_easy_s2,7,2,easy,2,ip,lp_optimal,7,14,123,14,107,2,2,2.0000,1,0.244900,0.002800,0.238000,746.681146,787.824304,1
lrsp_n007_f02_easy_s3,7,2,easy,3,dp,lp_optimal,6,12,137,14,121,2,2,2.0000,1,9.773100,0.003200,9.764500,946.880828,961.352764,1
lrsp_n007_f02_easy_s3,7,2,easy,3,ip,lp_optimal,6,12,137,14,121,2,2,2.0000,1,0.204700,0.002900,0.196800,946.880828,961.352764,1
lrsp_n007_f02_moderate_s1,7,2,moderate,1,dp,lp_optimal,7,14,126,14,112,0,1,0.0000,1,4.441400,0.003100,4.433400,831.816691,888.767843,1
