instance,pricing,customers,facilities,regime,seed,status,iterations,pricing_calls,total_columns,seed_columns,phase1_route_columns,phase2_pairing_columns,max_routes_per_column,avg_routes_per_pairing,reached_optimality,total_seconds,master_seconds,pricing_seconds,root_lp_objective,integer_objective,open_facilities
lrsp_n005_f02_easy_s1,dp,5,2,easy,1,lp_optimal,5,10,99,10,89,0,1,0.0000,1,0.019800,0.002200,0.015700,815.383240,815.383240,1
lrsp_n005_f02_easy_s1,ip,5,2,easy,1,lp_optimal,5,10,99,10,89,0,1,0.0000,1,0.027000,0.002300,0.022900,815.383240,815.383240,1
lrsp_n005_f02_easy_s2,dp,5,2,easy,2,lp_optimal,5,10,87,10,77,0,1,0.0000,1,0.019200,0.002200,0.015400,764.901398,764.901398,1
lrsp_n005_f02_easy_s2,ip,5,2,easy,2,lp_optimal,5,10,87,10,77,0,1,0.0000,1,0.019100,0.002300,0.015000,764.901398,764.901398,1
lrsp_n005_f02_easy_s3,dp,5,2,easy,3,lp_optimal,5,10,69,10,59,0,1,0.0000,1,0.019200,0.002300,0.015100,555.020443,555.020443,1
lrsp_n005_f02_easy_s3,ip,5,2,easy,3,lp_optimal,5,10,69,10,59,0,1,0.0000,1,0.018500,0.002200,0.014800,555.020443,555.020443,1
lrsp_n005_f02_moderate_s1,dp,5,2,moderate,1,lp_optimal,4,8,69,10,57,2,2,2.0000,1,0.011700,0.002100,0.006000,939.838047,962.552073,1
lrsp_n005_f02_moderate_s1,ip,5,2,moderate,1,lp_optimal,4,8,69,10,57,2,2,2.0000,1,0.019300,0.002200,0.013500,939.838047,962.552073,1
lrsp_n005_f02_moderate_s2,dp,5,2,moderate,2,lp_optimal,4,8,73,10,61,2,2,2.0000,1,0.014400,0.002100,0.009300,830.561185,839.691269,1
lrsp_n005_f02_moderate_s2,ip,5,2,moderate,2,lp_optimal,4,8,73,10,61,2,2,2.0000,1,0.016800,0.002200,0.011500,830.561185,839.691269,1
lrsp_n005_f02_moderate_s3,dp,5,2,moderate,3,lp_optimal,4,8,69,10,57,2,2,2.0000,1,0.009200,0.002200,0.005600,601.230483,601.230483,1
lrsp_n005_f02_moderate_s3,ip,5,2,moderate,3,lp_optimal,4,8,69,10,57,2,2,2.0000,1,0.011600,0.002100,0.007800,601.230483,601.230483,1
lrsp_n005_f02_tight_s1,dp,5,2,tight,1,lp_optimal,3,6,48,10,38,0,1,0.0000,1,0.004600,0.001900,0.001200,1595.741536,1597.946395,2
lrsp_n005_f02_tight_s1,ip,5,2,tight,1,lp_optimal,3,6,48,10,38,0,1,0.0000,1,0.008000,0.001900,0.004400,1595.741536,1597.946395,2
lrsp_n005_f02_tight_s2,dp,5,2,tight,2,lp_optimal,4,8,58,10,48,0,1,0.0000,1,0.010300,0.002200,0.005600,1362.745437,1383.580972,2
lrsp_n005_f02_tight_s2,ip,5,2,tight,2,lp_optimal,4,8,58,10,48,0,1,0.0000,1,0.019400,0.002200,0.014600,1362.745437,1383.580972,2
lrsp_n005_f02_tight_s3,dp,5,2,tight,3,lp_optimal,3,6,29,10,19,0,1,0.0000,1,0.007300,0.002000,0.000900,888.170092,888.170092,2
lrsp_n005_f02_tight_s3,ip,5,2,tight,3,lp_optimal,3,6,29,10,19,0,1,0.0000,1,0.007400,0.002000,0.004100,888.170092,888.170092,2
lrsp_n005_f03_easy_s1,dp,5,3,easy,1,lp_optimal,5,15,102,15,87,0,1,0.0000,1,0.019300,0.002300,0.015000,558.513859,558.513859,1
lrsp_n005_f03_easy_s1,ip,5,3,easy,1,lp_optimal,5,15,102,15,87,0,1,0.0000,1,0.024800,0.002200,0.020700,558.513859,558.513859,1
lrsp_n005_f03_easy_s2,dp,5,3,easy,2,lp_optimal,5,15,141,15,126,0,1,0.0000,1,0.026900,0.002300,0.022400,750.797801,750.797801,1
lrsp_n005_f03_easy_s2,ip,5,3,easy,2,lp_optimal,5,15,141,15,126,0,1,0.0000,1,0.027800,0.002300,0.023200,750.797801,750.797801,1
lrsp_n005_f03_easy_s3,dp,5,3,easy,3,lp_optimal,4,12,101,15,86,0,1,0.0000,1,0.014700,0.002100,0.010800,431.262680,431.262680,1
lrsp_n005_f03_easy_s3,ip,5,3,easy,3,lp_optimal,4,12,101,15,86,0,1,0.0000,1,0.019900,0.002200,0.015800,431.262680,431.262680,1
lrsp_n005_f03_moderate_s1,dp,5,3,moderate,1,lp_optimal,5,15,84,15,68,1,2,2.0000,1,0.011100,0.002000,0.007400,972.500864,972.942015,2
lrsp_n005_f03_moderate_s1,ip,5,3,moderate,1,lp_optimal,5,15,84,15,68,1,2,2.0000,1,0.025100,0.002200,0.021000,972.500864,972.942015,2
lrsp_n005_f03_moderate_s2,dp,5,3,moderate,2,lp_optimal,5,15,121,15,104,2,2,2.0000,1,0.020000,0.002200,0.016100,1268.103785,1268.103785,2
lrsp_n005_f03_moderate_s2,ip,5,3,moderate,2,lp_optimal,5,15,121,15,104,2,2,2.0000,1,0.027100,0.002300,0.023000,1268.103785,1268.103785,2
lrsp_n005_f03_moderate_s3,dp,5,3,moderate,3,lp_optimal,3,9,46,13,33,0,1,0.0000,1,0.004500,0.002100,0.000700,587.462537,589.327136,2
lrsp_n005_f03_moderate_s3,ip,5,3,moderate,3,lp_optimal,3,9,46,13,33,0,1,0.0000,1,0.009100,0.002000,0.002900,587.462537,589.327136,2
lrsp_n005_f03_tight_s1,dp,5,3,tight,1,lp_optimal,3,9,57,15,42,0,1,0.0000,1,0.005000,0.001900,0.001200,1383.917939,1411.600255,3
lrsp_n005_f03_tight_s1,ip,5,3,tight,1,lp_optimal,3,9,57,15,42,0,1,0.0000,1,0.009400,0.002000,0.005600,1383.917939,1411.600255,3
lrsp_n005_f03_tight_s2,dp,5,3,tight,2,lp_optimal,4,12,77,15,62,0,1,0.0000,1,0.010600,0.002100,0.006000,1334.629237,1839.959700,3
lrsp_n005_f03_tight_s2,ip,5,3,tight,2,lp_optimal,4,12,77,15,62,0,1,0.0000,1,0.020900,0.002600,0.015800,1334.629237,1839.959700,3
lrsp_n005_f03_tight_s3,dp,5,3,tight,3,lp_optimal,2,6,11,6,5,0,1,0.0000,1,0.004100,0.001700,0.000100,715.308596,715.740492,3
lrsp_n008_f02_easy_s1,ip,8,2,easy,1,lp_optimal,8,16,133,16,115,2,2,2.0000,1,0.730800,0.003100,0.723200,903.457946,943.297575,1
lrsp_n008_f02_easy_s2,ip,8,2,easy,2,lp_optimal,6,12,157,16,139,2,2,2.0000,1,0.838000,0.003000,0.830000,754.999626,778.943466,1
lrsp_n008_f02_easy_s3,ip,8,2,easy,3,lp_optimal,8,16,173,16,155,2,2,2.0000,1,0.647200,0.003400,0.640200,807.954734,807.954734,1
lrsp_n008_f02_moderate_s1,ip,8,2,moderate,1,lp_optimal,8,16,146,16,129,1,3,3.0000,1,0.104500,0.002800,0.099300,1047.109269,1047.109269,1
lrsp_n008_f02_moderate_s2,ip,8,2,moderate,2,lp_optimal,7,14,145,16,129,0,1,0.0000,1,0.186500,0.003000,0.181100,832.041328,832.041328,1
lrsp_n008_f02_moderate_s3,ip,8,2,moderate,3,lp_optimal,6,12,140,16,124,0,1,0.0000,1,0.087100,0.002700,0.080800,914.000707,955.703586,1
lrsp_n008_f02_tight_s1,dp,8,2,tight,1,lp_optimal,6,12,88,16,72,0,1,0.0000,1,3.550800,0.002700,3.546000,1649.515591,1650.541539,2
lrsp_n008_f02_tight_s1,ip,8,2,tight,1,lp_optimal,6,12,88,16,72,0,1,0.0000,1,0.016600,0.002400,0.012300,1649.515591,1650.541539,2
lrsp_n008_f02_tight_s2,dp,8,2,tight,2,lp_optimal,5,10,97,16,81,0,1,0.0000,1,9.089700,0.002600,9.084900,1274.684591,1274.684591,2
lrsp_n008_f02_tight_s2,ip,8,2,tight,2,lp_optimal,5,10,97,16,81,0,1,0.0000,1,0.019000,0.002300,0.014800,1274.684591,1274.684591,2
lrsp_n008_f02_tight_s3,dp,8,2,tight,3,lp_optimal,5,10,76,16,60,0,1,0.0000,1,4.813200,0.002400,4.807800,1422.824244,1446.494172,2
lrsp_n008_f02_tight_s3,ip,8,2,tight,3,lp_optimal,5,10,76,16,60,0,1,0.0000,1,0.013700,0.002100,0.008700,1422.824244,1446.494172,2
lrsp_n008_f04_easy_s1,ip,8,4,easy,1,lp_optimal,8,32,416,32,380,4,2,2.0000,1,1.517700,0.004300,1.502500,1214.990184,1224.693721,2
lrsp_n008_f04_easy_s2,ip,8,4,easy,2,lp_optimal,6,24,244,32,208,4,2,2.0000,1,1.509200,0.003300,1.502300,803.589975,803.589975,2
lrsp_n008_f04_easy_s3,ip,8,4,easy,3,lp_optimal,6,24,262,32,226,4,2,2.0000,1,0.891600,0.003100,0.884500,963.789684,963.789684,2
lrsp_n008_f04_moderate_s1,ip,8,4,moderate,1,lp_optimal,7,28,203,32,169,2,3,3.0000,1,0.157100,0.003000,0.150000,1719.891013,1751.563950,3
lrsp_n008_f04_moderate_s2,ip,8,4,moderate,2,lp_optimal,7,28,243,32,211,0,1,0.0000,1,0.331300,0.003500,0.251100,864.819187,972.911154,2
lrsp_n008_f04_moderate_s3,ip,8,4,moderate,3,lp_optimal,5,20,186,32,154,0,1,0.0000,1,0.204400,0.002600,0.144100,1041.462333,1171.745000,2
lrsp_n008_f04_tight_s1,dp,8,4,tight,1,lp_optimal,5,20,171,32,139,0,1,0.0000,1,7.237100,0.002700,7.085300,1854.164633,2038.124592,3
lrsp_n008_f04_tight_s1,ip,8,4,tight,1,lp_optimal,5,20,171,32,139,0,1,0.0000,1,0.169800,0.002600,0.022700,1854.164633,2038.124592,3
lrsp_n008_f04_tight_s2,dp,8,4,tight,2,lp_optimal,3,12,98,31,67,0,1,0.0000,1,0.447000,0.002200,0.443000,1099.869557,1099.869557,3
lrsp_n008_f04_tight_s2,ip,8,4,tight,2,lp_optimal,3,12,98,31,67,0,1,0.0000,1,0.013600,0.002100,0.009600,1099.869557,1099.869557,3
lrsp_n008_f04_tight_s3,dp,8,4,tight,3,lp_optimal,4,16,140,32,108,0,1,0.0000,1,7.679900,0.002300,7.614300,1442.880094,1575.801475,3
lrsp_n008_f04_tight_s3,ip,8,4,tight,3,lp_optimal,4,16,140,32,108,0,1,0.0000,1,0.078800,0.002300,0.013500,1442.880094,1575.801475,3
lrsp_n010_f02_easy_s1,ip,10,2,easy,1,lp_optimal,11,22,290,20,267,3,2,2.0000,1,8.907200,0.004700,8.897200,874.381974,874.381974,1
lrsp_n010_f02_easy_s2,ip,10,2,easy,2,lp_optimal,11,22,282,20,259,3,2,2.0000,1,20.365300,0.005300,20.346200,915.261406,964.320594,1
lrsp_n010_f02_easy_s3,ip,10,2,easy,3,lp_optimal,10,20,245,20,223,2,2,2.0000,1,6.337800,0.004300,6.328900,841.427508,841.427508,1
lrsp_n010_f02_moderate_s1,ip,10,2,moderate,1,lp_optimal,10,20,211,20,190,1,3,3.0000,1,0.543900,0.003300,0.537300,984.441414,984.441414,1
lrsp_n010_f02_moderate_s2,ip,10,2,moderate,2,lp_optimal,9,18,225,20,205,0,1,0.0000,1,2.383200,0.004200,2.332200,1061.305308,1160.585257,1
lrsp_n010_f02_moderate_s3,ip,10,2,moderate,3,lp_optimal,8,16,178,20,158,0,1,0.0000,1,0.388700,0.003500,0.379200,967.300744,992.775072,1
lrsp_n010_f02_tight_s1,ip,10,2,tight,1,lp_optimal,6,12,127,20,107,0,1,0.0000,1,0.039700,0.002500,0.034600,1656.349569,1669.134265,2
lrsp_n010_f02_tight_s2,ip,10,2,tight,2,lp_optimal,8,16,161,20,141,0,1,0.0000,1,0.101800,0.002900,0.092300,1704.596987,1721.295887,2
lrsp_n010_f02_tight_s3,ip,10,2,tight,3,lp_optimal,7,14,112,20,92,0,1,0.0000,1,0.031500,0.002500,0.026500,1508.057797,1514.466177,2
lrsp_n010_f03_easy_s1,ip,10,3,easy,1,lp_optimal,11,33,365,30,332,3,2,2.0000,1,12.261600,0.005400,12.249900,719.199554,719.199554,1
lrsp_n010_f03_easy_s2,ip,10,3,easy,2,lp_optimal,12,36,418,30,385,3,2,2.0000,1,30.308900,0.007800,30.286900,852.613272,899.512180,1
lrsp_n010_f03_easy_s3,ip,10,3,easy,3,lp_optimal,10,30,302,30,269,3,2,2.0000,1,8.727400,0.004800,8.717300,815.121385,815.121385,1
lrsp_n010_f03_moderate_s1,ip,10,3,moderate,1,lp_optimal,8,24,254,30,223,1,3,3.0000,1,0.552300,0.003400,0.544800,1140.010978,1149.825276,2
lrsp_n010_f03_moderate_s2,ip,10,3,moderate,2,lp_optimal,8,24,289,30,259,0,1,0.0000,1,2.715500,0.003700,2.672900,1397.602617,1442.861816,2
lrsp_n010_f03_moderate_s3,ip,10,3,moderate,3,lp_optimal,7,21,215,30,185,0,1,0.0000,1,0.483600,0.003300,0.471900,1285.330603,1322.917485,2
lrsp_n010_f03_tight_s1,ip,10,3,tight,1,lp_optimal,6,18,148,30,118,0,1,0.0000,1,0.049100,0.002600,0.040900,1647.759741,1670.267056,3
lrsp_n010_f03_tight_s2,ip,10,3,tight,2,lp_optimal,8,24,221,30,191,0,1,0.0000,1,0.141900,0.003200,0.134500,1971.433985,1973.666963,3
lrsp_n010_f03_tight_s3,ip,10,3,tight,3,lp_optimal,5,15,151,30,121,0,1,0.0000,1,0.030800,0.002400,0.025700,1801.205049,1804.882336,3
lrsp_n010_f05_easy_s1,ip,10,5,easy,1,lp_optimal,11,55,600,50,545,5,2,2.0000,1,20.419000,0.006400,20.401800,1046.271750,1048.622481,2
lrsp_n010_f05_easy_s2,ip,10,5,easy,2,lp_optimal,9,45,400,50,350,0,1,0.0000,1,23.573000,0.005800,23.551800,800.552598,861.078874,2
lrsp_n010_f05_easy_s3,ip,10,5,easy,3,lp_optimal,10,50,678,50,623,5,2,2.0000,1,12.503000,0.005900,12.485800,1148.323236,1148.323236,2
lrsp_n010_f05_moderate_s1,ip,10,5,moderate,1,lp_optimal,9,45,450,50,399,1,3,3.0000,1,1.020900,0.004500,1.009900,1464.379038,1473.000787,3
lrsp_n010_f05_moderate_s2,ip,10,5,moderate,2,lp_optimal,5,25,261,48,213,0,1,0.0000,1,0.121000,0.003300,0.107000,1066.195184,1096.442243,3
lrsp_n010_f05_moderate_s3,ip,10,5,moderate,3,lp_optimal,6,30,331,50,281,0,1,0.0000,1,0.687700,0.003700,0.657000,1653.444628,1704.808318,3
lrsp_n010_f05_tight_s1,ip,10,5,tight,1,lp_optimal,7,35,255,50,205,0,1,0.0000,1,0.149900,0.003200,0.077600,1988.301195,2130.764364,4
lrsp_n010_f05_tight_s2,dp,10,5,tight,2,lp_optimal,3,15,102,29,73,0,1,0.0000,1,0.008200,0.002700,0.002000,1334.296287,1364.344673,4
lrsp_n010_f05_tight_s2,ip,10,5,tight,2,lp_optimal,3,15,102,29,73,0,1,0.0000,1,0.006100,0.002200,0.001200,1334.296287,1364.344673,4
lrsp_n010_f05_tight_s3,ip,10,5,tight,3,lp_optimal,7,35,297,50,247,0,1,0.0000,1,0.143200,0.003100,0.054900,2169.262862,2265.674172,4
lrsp_n012_f03_easy_s1,ip,12,3,easy,1,time_limit,1,3,85,36,48,1,3,3.0000,0,33.944900,0.002000,33.940900,766.984897,766.984897,1
lrsp_n012_f03_moderate_s1,ip,12,3,moderate,1,lp_optimal,8,24,281,36,245,0,1,0.0000,1,1.080200,0.003800,1.072100,1113.116671,1115.777805,2
lrsp_n012_f03_moderate_s2,ip,12,3,moderate,2,lp_optimal,9,27,305,36,269,0,1,0.0000,1,6.600700,0.004800,6.587700,972.923143,977.342756,2
lrsp_n012_f03_moderate_s3,ip,12,3,moderate,3,lp_optimal,8,24,316,36,280,0,1,0.0000,1,1.684200,0.004200,1.657300,1296.740540,1352.810714,2
lrsp_n012_f03_tight_s1,ip,12,3,tight,1,lp_optimal,5,15,120,30,90,0,1,0.0000,1,0.023800,0.002400,0.018900,1595.749793,1599.440259,3
lrsp_n012_f03_tight_s2,ip,12,3,tight,2,lp_optimal,5,15,143,36,107,0,1,0.0000,1,0.092000,0.002500,0.085600,1260.257879,1291.010789,3
lrsp_n012_f03_tight_s3,ip,12,3,tight,3,lp_optimal,6,18,157,36,121,0,1,0.0000,1,0.079000,0.002800,0.055400,1865.221886,1931.058318,3
lrsp_n012_f04_moderate_s1,ip,12,4,moderate,1,lp_optimal,8,32,372,48,324,0,1,0.0000,1,2.439000,0.004900,1.377900,1058.094215,1171.489489,2
lrsp_n012_f04_moderate_s2,ip,12,4,moderate,2,lp_optimal,12,48,472,48,424,0,1,0.0000,1,13.756300,0.008400,9.836700,961.543128,1184.953083,3
